customer_id,age,annual_income,credit_score,employment_type,loan_amount,loan_tenure_months,existing_loans,recency_days,frequency,monetary,default
CUST00042,53,61086,787,Salaried,53422,48,1,268,1,62785,0
CUST00043,51,58680,671,Salaried,20000,60,0,335,27,74343,0
CUST00044,66,61982,801,Self-Employed,67488,36,0,327,17,23546,0
CUST00045,50,43040,645,Business,253777,12,2,207,12,42904,1
CUST00046,29,42962,669,Business,183083,48,1,323,20,42222,1
CUST00047,45,26948,591,Self-Employed,200868,12,1,72,5,22911,1
CUST00048,32,67904,665,Business,123752,24,2,191,25,16807,1
CUST00049,63,105160,707,Salaried,133400,24,1,320,13,55419,0
CUST00050,57,27931,700,Salaried,144763,36,2,112,23,30195,1
CUST00051,22,15000,423,Business,211353,60,1,133,24,29213,1
CUST00052,29,19069,677,Self-Employed,153476,12,0,209,12,37795,1
CUST00053,45,40052,715,Salaried,285553,12,0,58,2,41419,1
CUST00054,50,34544,614,Self-Employed,263599,48,1,35,7,21737,1
CUST00055,54,49615,669,Salaried,224642,24,2,103,8,5000,1
CUST00056,43,23987,703,Salaried,224822,60,2,237,27,54421,1
CUST00057,58,64225,638,Business,101395,48,0,340,29,5000,1
CUST00058,57,44816,686,Freelance,145882,36,2,33,17,59478,1
CUST00059,55,74993,671,Salaried,166061,36,0,175,10,60104,1
CUST00060,25,66011,738,Salaried,127387,12,2,125,11,49056,1
CUST00061,49,103711,583,Self-Employed,234911,12,0,107,22,42195,1
CUST00062,55,79642,604,Salaried,88219,36,0,67,22,40016,1
CUST00063,41,51708,669,Salaried,172807,24,1,219,28,55984,1
CUST00064,49,73647,670,Salaried,134267,60,0,207,28,54133,0
CUST00065,26,58747,577,Business,108662,36,1,50,22,53501,1
CUST00066,41,34424,688,Salaried,306770,36,1,269,5,5000,1
CUST00067,55,58938,643,Business,126637,60,0,37,27,60811,1
CUST00068,52,41672,676,Salaried,191325,36,2,29,24,45889,1
CUST00069,59,65755,829,Business,197325,12,1,129,24,72983,1
CUST00070,31,63619,774,Salaried,237724,36,2,221,14,71494,1
CUST00071,51,56713,678,Salaried,188238,24,1,13,23,5000,1
CUST00072,39,34812,714,Salaried,224361,36,0,188,5,46978,1
CUST00073,53,70896,712,Salaried,161306,60,2,289,17,14839,1
CUST00074,24,61415,697,Salaried,223872,12,1,217,10,72207,1
CUST00075,41,41494,671,Salaried,187425,48,2,206,6,45117,1
CUST00076,40,80171,608,Business,274832,60,0,274,28,30314,1
CUST00077,43,57592,563,Business,245554,60,0,245,29,60212,1
CUST00078,25,50226,850,Business,215606,60,0,19,2,53528,0
CUST00079,33,72948,503,Business,189889,24,3,192,16,18012,1
CUST00080,38,64112,664,Self-Employed,349883,12,3,101,7,27051,1
CUST00081,34,15000,604,Salaried,21139,12,1,154,6,57624,1
CUST00082,51,38682,792,Salaried,204193,48,3,10,3,26985,1
CUST00083,65,27237,704,Business,151127,36,0,138,6,22547,1
CUST00084,63,32190,802,Salaried,263145,36,2,53,21,54131,1
CUST00085,31,74600,511,Salaried,153666,36,0,241,9,6013,1
CUST00086,34,52833,714,Salaried,232630,36,2,35,10,19636,1
CUST00087,25,46747,638,Salaried,270780,12,1,244,2,15257,1
CUST00088,36,41221,671,Salaried,20000,60,0,279,24,53974,1
CUST00089,42,39546,649,Salaried,246750,60,1,89,1,55859,1
CUST00090,37,48060,665,Salaried,59242,36,2,10,25,26657,1
CUST00091,57,60767,788,Business,177341,48,2,232,19,7165,0
CUST00092,26,72621,541,Salaried,190946,36,0,231,19,74424,1
CUST00093,65,34133,601,Self-Employed,20000,60,1,216,29,69939,1
CUST00094,30,41805,557,Salaried,379552,48,1,13,3,83050,1
CUST00095,48,87950,702,Freelance,176749,48,2,12,12,45008,1
CUST00096,65,70269,801,Freelance,126230,24,1,92,3,24259,0
CUST00097,45,18705,522,Self-Employed,278148,24,1,309,27,33309,1
CUST00098,35,67526,735,Salaried,204198,60,0,183,7,27445,0
CUST00099,61,40283,674,Business,210648,12,0,310,25,44489,1
CUST00100,25,47532,743,Salaried,20000,48,0,269,14,71046,0
CUST00101,51,63552,609,Salaried,118882,48,2,88,5,53277,1
CUST00102,34,42809,691,Salaried,202501,48,0,232,18,46399,1
CUST00103,34,32644,713,Freelance,138170,48,1,56,8,89288,1
CUST00104,37,76382,777,Self-Employed,323457,60,2,144,7,24527,1
CUST00105,51,58919,749,Freelance,153408,48,1,256,28,43472,1
CUST00106,30,70451,723,Salaried,137728,60,1,196,4,38605,0
CUST00107,60,55088,630,Salaried,174684,12,0,324,23,5000,1
CUST00108,28,57689,624,Salaried,125331,24,1,246,21,22390,1
CUST00109,43,60412,660,Salaried,230666,24,0,217,1,32696,1
CUST00110,66,59116,740,Salaried,110773,24,1,103,20,36264,0
CUST00111,49,61666,618,Salaried,273059,48,0,225,10,36824,1
CUST00112,29,53971,675,Salaried,265273,36,1,89,27,90663,1
CUST00113,39,70854,631,Salaried,200946,12,2,76,4,13874,1
CUST00114,64,34908,612,Self-Employed,85772,60,2,266,5,28365,1
CUST00115,27,54590,687,Freelance,179170,36,1,262,10,33973,1
CUST00116,58,77714,771,Salaried,78758,24,1,83,3,35287,0
CUST00117,63,33815,634,Salaried,170015,24,0,40,2,48698,1
CUST00118,63,50942,657,Salaried,187558,24,0,288,26,35188,1
CUST00119,51,52946,569,Salaried,81267,48,0,133,11,30343,1
CUST00120,48,48967,633,Salaried,20000,60,0,98,5,52473,1
CUST00121,22,41114,666,Salaried,314186,12,1,90,25,42882,1
CUST00122,44,57857,747,Salaried,160318,36,0,43,29,39504,0
CUST00123,56,68032,723,Freelance,150072,24,1,5,27,61972,1
CUST00124,34,65647,699,Self-Employed,171192,60,3,329,2,39566,1
CUST00125,28,56762,708,Salaried,87848,24,0,45,5,62911,0
CUST00126,62,75360,707,Business,215414,48,0,310,14,11667,1
CUST00127,56,74645,701,Business,142110,24,0,172,7,42770,0
CUST00128,64,41481,705,Salaried,158931,36,1,43,23,5000,1
CUST00129,51,59694,850,Self-Employed,114436,60,0,140,15,10490,0
CUST00130,60,39033,679,Business,132267,60,1,329,25,53168,1
CUST00131,64,49620,653,Self-Employed,207035,12,0,255,21,17375,1
CUST00132,39,51769,743,Business,102237,60,2,130,22,37914,1
CUST00133,27,42563,563,Self-Employed,93029,24,2,201,2,47348,1
CUST00134,37,45588,796,Freelance,167094,60,1,324,12,34322,0
CUST00135,34,53170,771,Salaried,310839,36,1,139,21,32343,1
CUST00136,63,57560,648,Freelance,211562,24,0,8,28,61977,1
CUST00137,62,36456,611,Salaried,149750,48,1,255,8,57042,1
CUST00138,50,50736,471,Business,132590,48,0,358,9,80871,1
CUST00139,59,67122,587,Salaried,258200,36,0,312,11,44024,1
CUST00140,31,57419,632,Self-Employed,237941,48,0,165,21,67869,1
CUST00141,45,52414,735,Salaried,232312,12,1,15,21,48682,1
CUST00142,43,41817,652,Self-Employed,192719,48,1,161,25,5000,1
CUST00143,26,42188,510,Self-Employed,250827,48,0,177,21,43664,1
CUST00144,49,81254,761,Business,144839,36,0,162,12,82129,0
CUST00145,34,17875,605,Salaried,234692,60,0,254,16,5000,1
CUST00146,63,35871,787,Self-Employed,213017,48,0,104,13,44883,1
CUST00147,33,47064,553,Salaried,135378,12,1,251,22,42377,1
CUST00148,28,73532,723,Salaried,22260,12,2,267,7,36739,1
CUST00149,55,31290,588,Self-Employed,157719,48,0,156,10,47320,1
CUST00150,43,37403,675,Business,150218,36,1,310,4,61755,1
CUST00151,43,76315,698,Salaried,199724,48,0,69,6,50330,1
CUST00152,52,50229,594,Salaried,313819,24,0,246,29,35500,1
CUST00153,65,22257,655,Salaried,99996,12,2,191,27,47671,1
CUST00154,50,65901,644,Salaried,253548,48,1,285,27,54371,1
CUST00155,34,51526,643,Salaried,217717,60,0,52,24,6758,1
CUST00156,34,72227,687,Salaried,208200,12,0,302,22,38472,1
CUST00157,67,51267,555,Self-Employed,215174,24,0,95,15,46841,1
CUST00158,58,44409,659,Salaried,268469,24,1,160,11,47229,1
CUST00159,29,41054,792,Salaried,142810,24,0,226,26,45907,0
CUST00160,43,44711,736,Salaried,92636,24,0,244,29,62471,0
CUST00161,63,51540,698,Self-Employed,168994,36,1,188,13,39018,1
CUST00162,60,80033,663,Freelance,20000,24,3,41,20,62460,1
CUST00163,37,79289,760,Salaried,226106,60,0,193,14,93649,0
CUST00164,65,45428,652,Salaried,143374,48,0,4,20,28269,1
CUST00165,40,26790,597,Freelance,118122,24,1,87,4,38617,1
CUST00166,50,41826,546,Self-Employed,325099,36,2,164,14,40661,1
CUST00167,38,54903,764,Business,149789,12,1,228,8,54278,0
CUST00168,27,61742,629,Salaried,225635,24,1,248,25,44690,1
CUST00169,57,52605,730,Salaried,46195,60,0,152,4,5000,0
CUST00170,35,57886,830,Salaried,61691,36,0,78,26,66657,0
CUST00171,54,101793,618,Salaried,164130,60,2,239,25,55361,1
CUST00172,45,49717,761,Salaried,197368,24,0,309,14,75687,0
CUST00173,53,50061,665,Freelance,126602,24,1,117,14,56137,1
CUST00174,55,56448,760,Salaried,252911,60,0,232,9,64467,1
CUST00175,67,65748,533,Salaried,193388,24,1,7,9,92675,1
CUST00176,62,65200,798,Self-Employed,181079,48,1,149,11,15059,0
CUST00177,49,89631,669,Business,82662,24,2,354,28,32974,1
CUST00178,36,37462,557,Business,28545,48,0,66,26,56416,1
CUST00179,67,69303,850,Salaried,168284,48,0,30,13,64417,0
CUST00180,63,60260,671,Business,69728,48,0,199,27,85259,1
CUST00181,64,70786,627,Self-Employed,20000,24,1,201,9,32286,0
CUST00182,54,34785,750,Freelance,126089,36,1,206,3,31372,1
CUST00183,56,47255,799,Salaried,252904,60,2,335,1,45442,1
CUST00184,53,15000,700,Self-Employed,151992,60,1,349,8,11427,1
CUST00185,60,85953,742,Business,93968,36,1,84,26,6488,0
CUST00186,40,75244,620,Business,237221,60,1,308,6,48673,1
CUST00187,31,27901,633,Salaried,183536,60,1,132,16,44511,1
CUST00188,31,39634,844,Freelance,20000,36,0,13,5,18838,0
CUST00189,35,61363,757,Business,123155,24,2,21,1,25402,1
CUST00190,43,66926,780,Salaried,165005,24,0,96,1,22879,0
CUST00191,65,65889,680,Freelance,157592,24,2,171,7,81680,1
CUST00192,23,49204,715,Business,143848,60,3,164,23,29994,1
CUST00193,53,79607,533,Business,413208,60,1,16,15,22517,1
CUST00194,36,54678,722,Freelance,123011,60,0,301,21,66097,0
CUST00195,38,62746,710,Salaried,203431,24,0,218,26,65520,1
CUST00196,47,57221,598,Salaried,267406,12,1,67,6,57434,1
CUST00197,55,67150,623,Salaried,130131,60,0,314,23,18733,1
CUST00198,43,56186,764,Salaried,176697,48,1,178,16,20276,1
CUST00199,41,87487,786,Salaried,280933,36,0,136,28,45114,0
CUST00200,40,34509,583,Business,202394,36,1,165,9,32769,1
CUST00201,22,43304,709,Salaried,282508,24,0,281,1,40416,1
CUST00202,35,75400,715,Business,246501,12,2,24,22,56639,1
CUST00203,32,29763,608,Freelance,20000,12,3,130,22,21788,1
CUST00204,49,37458,629,Business,255950,36,0,88,27,51823,1
CUST00205,50,28092,713,Salaried,197397,60,2,338,3,71204,1
CUST00206,30,55511,670,Business,207805,48,1,335,28,51134,1
CUST00207,55,56835,644,Business,171675,36,0,266,23,63939,1
CUST00208,58,32962,672,Salaried,148005,36,1,205,9,30732,1
CUST00209,47,38273,588,Business,20000,24,0,112,21,39492,1
CUST00210,66,64876,763,Self-Employed,211109,12,3,175,10,62636,1
CUST00211,64,91695,687,Self-Employed,139808,24,1,50,6,59974,1
CUST00212,50,69778,681,Business,184819,48,1,259,6,51635,1
CUST00213,29,38478,702,Salaried,141164,48,1,214,8,16807,1
CUST00214,37,35393,753,Salaried,104795,24,0,246,10,13084,0
CUST00215,22,48362,608,Self-Employed,167336,24,0,52,16,53596,1
CUST00216,40,51484,619,Self-Employed,225753,36,0,209,26,25128,1
CUST00217,61,60195,755,Salaried,121096,48,0,26,23,47948,0
CUST00218,66,50706,737,Salaried,69178,48,0,253,5,50979,0
CUST00219,22,32490,817,Self-Employed,210899,24,0,105,13,14974,0
CUST00220,66,80248,634,Salaried,20000,60,1,143,2,42871,0
CUST00221,31,90012,850,Business,250075,48,0,331,8,74696,0
CUST00222,56,49874,618,Self-Employed,97344,48,0,160,4,5000,1
CUST00223,65,41165,729,Self-Employed,244207,12,2,170,7,58129,1
CUST00224,27,69048,757,Salaried,147352,24,3,254,13,53778,1
CUST00225,43,33842,732,Salaried,255902,24,1,265,17,13206,1
CUST00226,38,35313,646,Salaried,248983,48,1,217,11,55672,1
CUST00227,63,52981,772,Salaried,299824,12,0,49,14,35565,1
CUST00228,33,73107,680,Salaried,117414,12,0,40,2,47647,0
CUST00229,64,55825,695,Salaried,235694,12,1,242,9,37446,1
CUST00230,54,91672,666,Salaried,164950,12,1,81,8,25029,1
CUST00231,62,50888,676,Self-Employed,129247,48,0,84,18,74545,1
CUST00232,58,35535,763,Self-Employed,70551,36,2,313,6,22329,1
CUST00233,27,39733,713,Business,189323,24,1,192,15,66322,1
CUST00234,50,45874,825,Self-Employed,245977,48,1,155,29,37177,0
CUST00235,65,52336,614,Self-Employed,302505,60,2,58,7,47407,1
CUST00236,51,53094,728,Salaried,56640,12,2,162,2,52143,0
CUST00237,64,67463,731,Salaried,104932,48,1,254,6,65644,1
CUST00238,53,49915,673,Business,235497,12,2,101,22,89351,1
CUST00239,29,19866,675,Salaried,111687,60,0,43,22,35668,1
CUST00240,50,68726,584,Business,216260,36,1,155,2,5000,1
CUST00241,36,37893,628,Self-Employed,240339,36,1,339,13,52986,1
CUST00242,35,37939,721,Salaried,213167,24,0,60,29,50380,1
CUST00243,41,72649,709,Business,176074,12,0,7,21,76825,1
CUST00244,63,39733,658,Salaried,185937,24,0,341,6,64757,1
CUST00245,35,67041,638,Business,207282,12,0,185,13,31482,1
CUST00246,46,62983,811,Freelance,174701,12,1,21,26,87595,0
CUST00247,25,48810,654,Salaried,190697,48,2,194,18,64079,1
CUST00248,29,62743,655,Salaried,56058,12,0,187,24,13538,1
CUST00249,64,80285,850,Business,233327,36,1,354,3,81178,0
CUST00250,54,45679,741,Self-Employed,98054,12,1,314,3,47424,0
CUST00251,55,70919,617,Salaried,122273,48,2,123,23,13584,1
CUST00252,33,48312,709,Salaried,157841,24,1,42,7,52051,1
CUST00253,49,48687,617,Business,143312,36,0,188,25,39346,1
CUST00254,26,66955,696,Business,145420,60,0,191,1,30901,1
CUST00255,60,55878,615,Salaried,153395,36,2,76,26,47750,1
CUST00256,53,55919,496,Self-Employed,237849,48,1,248,21,32384,1
CUST00257,52,33200,768,Business,114641,48,2,141,4,65232,1
CUST00258,36,79066,807,Salaried,230839,24,3,264,5,56928,1
CUST00259,66,64554,657,Salaried,237130,60,0,77,10,11711,1
CUST00260,65,82106,708,Salaried,116840,36,0,306,24,30361,0
CUST00261,34,67004,692,Salaried,131168,36,1,275,20,50326,1
CUST00262,38,70776,807,Salaried,250401,60,0,356,2,32373,0
CUST00263,48,54760,700,Salaried,298463,48,2,347,20,58995,1
CUST00264,54,81072,697,Self-Employed,266745,12,0,19,9,30092,1
CUST00265,65,28332,720,Salaried,97042,48,0,170,12,35311,0
CUST00266,55,64092,698,Salaried,165762,12,1,238,29,35980,1
CUST00267,30,43535,578,Salaried,146941,24,2,54,29,16679,1
CUST00268,52,43552,681,Business,159904,60,0,157,9,42020,1
CUST00269,55,78238,683,Salaried,93640,36,1,124,22,38047,1
CUST00270,37,41983,564,Self-Employed,251019,48,1,56,17,42091,1
CUST00271,44,43888,675,Salaried,134647,12,1,217,8,13444,1
CUST00272,56,50172,690,Business,235440,36,1,139,13,13499,1
CUST00273,34,45504,669,Freelance,175272,24,0,129,2,28229,1
CUST00274,26,31982,693,Self-Employed,45687,24,0,175,18,59529,0
CUST00275,66,44688,687,Salaried,169740,60,0,238,20,60145,0
CUST00276,42,30083,740,Salaried,110652,60,3,322,17,15504,1
CUST00277,65,41696,616,Business,136454,36,0,39,28,41522,1
CUST00278,40,56028,663,Freelance,305034,12,1,44,2,67042,1
CUST00279,43,40301,821,Business,130881,24,0,263,12,58617,0
CUST00280,44,51797,812,Business,81040,48,2,152,1,41984,0
CUST00281,40,69480,613,Salaried,181199,48,1,260,26,56583,1
CUST00282,27,56078,759,Salaried,89977,36,0,42,28,54925,0
CUST00283,61,30714,764,Salaried,363909,12,0,315,14,26447,1
CUST00284,27,66963,678,Business,184914,36,2,75,6,56508,1
CUST00285,27,72088,504,Salaried,156396,12,0,24,20,49453,1
CUST00286,28,63901,700,Self-Employed,342531,36,0,235,14,28861,1
CUST00287,53,32829,708,Freelance,250624,12,0,106,9,67914,1
CUST00288,51,78968,683,Self-Employed,191814,12,3,82,25,55913,1
CUST00289,38,34886,756,Self-Employed,358548,60,1,154,1,53504,1
CUST00290,64,62282,695,Salaried,148503,12,0,150,19,35574,1
CUST00291,26,30577,761,Self-Employed,91007,12,1,100,3,36938,0
CUST00292,60,66152,652,Salaried,74946,48,0,67,16,55184,0
CUST00293,35,69739,793,Self-Employed,245423,36,0,304,8,57156,0
CUST00294,24,77830,593,Self-Employed,249320,60,1,26,5,5000,1
CUST00295,34,48137,676,Self-Employed,246940,24,0,114,14,19081,1
CUST00296,46,48608,646,Self-Employed,318510,60,1,165,16,41426,1
CUST00297,49,41579,658,Business,131201,60,1,310,28,7082,1
CUST00298,38,56352,683,Salaried,56895,60,0,130,27,11247,0
CUST00299,27,52607,709,Salaried,113242,12,0,215,2,67172,0
CUST00300,62,57698,731,Salaried,166531,12,1,194,8,58448,1
CUST00301,51,33770,725,Salaried,259619,36,2,232,28,5000,1
CUST00302,31,61944,652,Self-Employed,195080,24,1,153,6,17924,1
CUST00303,66,60376,630,Salaried,234648,12,2,289,14,86344,1
CUST00304,61,18522,713,Business,212288,48,1,255,20,47798,1
CUST00305,36,65774,682,Salaried,214715,12,0,99,12,59883,1
CUST00306,28,59045,691,Freelance,93460,12,0,45,1,20113,0
CUST00307,24,70819,549,Salaried,215492,24,0,43,17,26998,1
CUST00308,59,79902,697,Salaried,198330,60,1,174,15,26989,1
CUST00309,44,38897,512,Salaried,20000,36,2,325,10,41436,1
CUST00310,31,46859,550,Business,128830,60,0,259,26,44190,1
CUST00311,57,50676,678,Business,215162,60,1,204,28,6226,1
CUST00312,37,85195,618,Salaried,154800,60,0,40,10,62716,1
CUST00313,42,33771,665,Salaried,239246,12,0,105,10,45729,1
CUST00314,54,49489,661,Salaried,235878,24,1,324,7,34233,1
CUST00315,57,68983,518,Salaried,165278,60,2,65,14,21361,1
CUST00316,43,42302,655,Salaried,328845,36,1,229,19,21649,1
CUST00317,28,67301,690,Salaried,202062,12,0,64,27,71497,1
CUST00318,42,54488,552,Salaried,198702,24,1,265,11,43963,1
CUST00319,22,65898,564,Business,233236,60,1,198,2,64073,1
CUST00320,42,64477,666,Salaried,254589,48,0,64,2,72162,1
CUST00321,55,38378,588,Salaried,188058,60,0,45,20,49417,1
CUST00322,43,53257,669,Business,105540,60,0,202,1,65350,0
CUST00323,24,23157,686,Salaried,141155,60,0,335,10,75837,1
CUST00324,33,93305,644,Self-Employed,231091,60,1,66,11,5000,1
CUST00325,33,41962,603,Salaried,297736,36,0,64,6,29369,1
CUST00326,58,41969,759,Self-Employed,114315,12,1,75,5,54516,1
CUST00327,30,53343,827,Self-Employed,201887,36,2,168,21,23748,0
CUST00328,67,64837,584,Self-Employed,163818,12,1,98,22,99307,1
CUST00329,65,51320,619,Business,184159,24,1,79,29,69552,1
CUST00330,29,53695,716,Salaried,152705,12,0,190,5,54012,1
CUST00331,29,65771,807,Self-Employed,20000,36,3,315,12,69613,1
CUST00332,43,58206,522,Salaried,359242,60,2,120,6,51022,1
CUST00333,41,45442,517,Business,145125,24,2,111,18,52050,1
CUST00334,61,52306,735,Salaried,155987,48,2,328,29,61194,1
CUST00335,44,48490,544,Self-Employed,135110,48,0,200,4,61439,1
CUST00336,67,78761,603,Salaried,108558,48,2,80,27,36394,1
CUST00337,57,57403,596,Salaried,265109,60,0,55,19,37593,1
CUST00338,39,32613,709,Salaried,245056,12,1,318,27,75864,1
CUST00339,55,55916,633,Self-Employed,145979,12,1,65,6,66460,1
CUST00340,30,51834,807,Self-Employed,177681,48,0,282,28,55315,0
CUST00341,37,53846,763,Salaried,202265,12,2,200,27,24884,1
CUST00342,32,56930,754,Salaried,112916,60,2,236,15,33695,0
CUST00343,40,19474,835,Salaried,255682,48,0,13,7,99346,0
CUST00344,49,62409,680,Salaried,201436,24,0,124,2,38281,1
CUST00345,39,82761,629,Salaried,208178,24,2,261,29,5487,1
CUST00346,48,75526,660,Self-Employed,268016,48,2,140,6,51695,1
CUST00347,61,76717,775,Salaried,239044,12,0,332,5,45853,0
CUST00348,22,64836,504,Salaried,279482,48,2,57,12,52994,1
CUST00349,30,99102,702,Salaried,303574,48,0,155,21,21630,1
CUST00350,35,76313,749,Business,69792,12,1,19,4,41613,0
CUST00351,46,52261,770,Freelance,270141,12,2,119,11,49505,1
CUST00352,34,63789,552,Business,291068,48,2,277,23,41187,1
CUST00353,56,57822,625,Salaried,43748,36,1,35,13,46799,1
CUST00354,25,66799,850,Salaried,276230,12,0,123,11,22802,1
CUST00355,54,65566,707,Business,200207,36,1,208,16,60623,1
CUST00356,48,63582,756,Salaried,179216,24,1,255,16,43948,1
CUST00357,39,85143,674,Self-Employed,197511,60,1,235,20,40201,1
CUST00358,33,48436,686,Salaried,181892,48,2,4,23,49789,1
CUST00359,23,54250,703,Self-Employed,153548,60,1,95,15,61476,0
CUST00360,59,72698,633,Salaried,295945,24,1,243,16,57451,1
CUST00361,59,62206,660,Self-Employed,103672,48,2,254,14,30288,1
CUST00362,31,54419,653,Salaried,294530,48,1,341,5,62811,1
CUST00363,49,56953,580,Salaried,69376,12,0,220,29,14595,1
CUST00364,41,75049,689,Freelance,275272,12,0,33,12,53394,1
CUST00365,65,93985,562,Salaried,158103,36,1,287,21,75429,1
CUST00366,42,41919,696,Salaried,122921,36,2,65,16,48871,1
CUST00367,24,55834,779,Salaried,83524,48,1,155,10,50852,0
CUST00368,30,44451,708,Freelance,146312,48,0,171,6,74408,0
CUST00369,42,52554,650,Salaried,176567,12,1,24,28,31832,1
CUST00370,32,51079,558,Salaried,177410,12,1,199,17,60067,1
CUST00371,54,72823,582,Salaried,210590,24,2,294,11,54654,1
CUST00372,67,68622,725,Salaried,246127,12,0,25,3,76139,1
CUST00373,24,38895,679,Business,302442,60,1,117,6,33788,1
CUST00374,44,50039,768,Self-Employed,170891,60,0,161,29,48259,0
CUST00375,25,46227,710,Salaried,273215,48,0,61,22,35032,1
CUST00376,63,53333,689,Self-Employed,155648,60,1,95,10,22458,1
CUST00377,50,75879,595,Freelance,173658,36,0,100,4,8258,1
CUST00378,37,56796,649,Salaried,143021,24,1,152,11,17550,1
CUST00379,67,63075,625,Salaried,310452,60,0,12,12,27110,1
CUST00380,60,52371,726,Salaried,263764,48,0,319,13,38950,1
CUST00381,31,45332,722,Self-Employed,20000,24,1,125,11,43781,0
CUST00382,63,49139,699,Salaried,193637,36,3,301,19,50924,1
CUST00383,63,41357,794,Business,234693,60,2,54,18,53926,1
CUST00384,58,34549,654,Salaried,165866,36,2,248,17,5000,1
CUST00385,62,80246,796,Business,110220,60,2,200,4,94057,1
CUST00386,34,59302,714,Self-Employed,202299,24,0,68,21,51280,0
CUST00387,56,67108,738,Self-Employed,78957,36,2,174,8,30618,1
CUST00388,58,60811,700,Self-Employed,128003,48,3,216,20,56804,1
CUST00389,44,67834,582,Self-Employed,215541,24,0,154,1,82086,1
CUST00390,27,49340,637,Business,192400,36,1,3,22,39814,1
CUST00391,37,46522,630,Self-Employed,222179,12,2,85,15,61528,1
CUST00392,25,33025,571,Freelance,189925,48,1,135,11,35949,1
CUST00393,59,61250,716,Business,130233,36,0,52,20,19563,0
CUST00394,44,41352,762,Freelance,181392,12,2,189,23,55146,1
CUST00395,36,49144,695,Self-Employed,224960,48,2,214,8,64984,1
CUST00396,58,47824,694,Business,219350,24,0,187,9,54157,1
CUST00397,41,70517,680,Salaried,185647,24,1,81,27,70444,1
CUST00398,66,47235,719,Business,78862,24,0,292,1,43286,0
CUST00399,59,92934,811,Self-Employed,276162,48,1,168,20,45614,1
CUST00400,45,56122,792,Salaried,125985,36,1,302,5,58025,0
CUST00401,27,94481,684,Salaried,197563,48,1,48,19,55157,1
CUST00402,46,64059,701,Freelance,359506,12,1,236,14,37144,1
CUST00403,33,56760,579,Self-Employed,165091,12,0,184,11,60607,1
CUST00404,48,53239,714,Salaried,147592,12,1,319,1,22711,1
CUST00405,56,48446,706,Salaried,160122,12,1,231,7,33317,1
CUST00406,38,33934,652,Salaried,184833,48,2,43,27,37027,1
CUST00407,63,58617,807,Salaried,241841,60,1,145,5,31052,0
CUST00408,41,77914,601,Salaried,148251,36,0,10,1,76320,1
