customer_id,age,annual_income,credit_score,employment_type,loan_amount,loan_tenure_months,existing_loans,recency_days,frequency,monetary,default,R,F,M,RFM_Score,segment,risk_score,risk_tier,estimated_clv
CUST00049,63,105160,707,Salaried,133400,24,1,320,13,55419,0,1,2,3,6,At Risk,72.1,High Risk,737625.0
CUST00050,57,27931,700,Salaried,144763,36,2,112,23,30195,1,3,4,1,8,Loyal,100.0,Critical Risk,1706983.0
CUST00051,22,15000,423,Business,211353,60,1,133,24,29213,1,3,4,1,8,Loyal,100.0,Critical Risk,1509769.0
CUST00052,29,19069,677,Self-Employed,153476,12,0,209,12,37795,1,2,2,2,6,At Risk,100.0,Critical Risk,674306.0
CUST00053,45,40052,715,Salaried,285553,12,0,58,2,41419,1,4,1,2,7,At Risk,100.0,Critical Risk,319956.0
CUST00054,50,34544,614,Self-Employed,263599,48,1,35,7,21737,1,4,1,1,6,At Risk,100.0,Critical Risk,776756.0
CUST00055,54,49615,669,Salaried,224642,24,2,103,8,5000,1,3,1,1,5,Lost,100.0,Critical Risk,104659.0
CUST00056,43,23987,703,Salaried,224822,60,2,237,27,54421,1,2,4,3,9,Loyal,100.0,Critical Risk,1960947.0
CUST00057,58,64225,638,Business,101395,48,0,340,29,5000,1,1,4,1,6,At Risk,74.9,High Risk,140571.0
CUST00058,57,44816,686,Freelance,145882,36,2,33,17,59478,1,4,3,4,11,Champions,99.7,Critical Risk,5310230.0
CUST00059,55,74993,671,Salaried,166061,36,0,175,10,60104,1,3,2,4,9,Loyal,71.7,High Risk,1037256.0
CUST00060,25,66011,738,Salaried,127387,12,2,125,11,49056,1,3,2,3,8,Loyal,77.0,Critical Risk,1219566.0
CUST00061,49,103711,583,Self-Employed,234911,12,0,107,22,42195,1,3,3,2,8,Loyal,73.5,High Risk,2361156.0
CUST00062,55,79642,604,Salaried,88219,36,0,67,22,40016,1,4,3,2,9,Loyal,45.6,Medium Risk,3104623.0
CUST00063,41,51708,669,Salaried,172807,24,1,219,28,55984,1,2,4,3,9,Loyal,100.0,Critical Risk,2239360.0
CUST00064,49,73647,670,Salaried,134267,60,0,207,28,54133,0,2,4,3,9,Loyal,66.6,High Risk,2272030.0
CUST00065,26,58747,577,Business,108662,36,1,50,22,53501,1,4,3,3,10,Champions,71.0,High Risk,4966625.0
CUST00066,41,34424,688,Salaried,306770,36,1,269,5,5000,1,2,1,1,4,Lost,100.0,Critical Risk,29869.0
CUST00067,55,58938,643,Business,126637,60,0,37,27,60811,1,4,4,4,12,Champions,61.1,High Risk,8153638.0
CUST00068,52,41672,676,Salaried,191325,36,2,29,24,45889,1,4,4,3,11,Champions,100.0,Critical Risk,6137216.0
CUST00069,59,65755,829,Business,197325,12,1,129,24,72983,1,3,4,4,11,Champions,82.1,Critical Risk,3863028.0
CUST00070,31,63619,774,Salaried,237724,36,2,221,14,71494,1,2,2,4,8,Loyal,100.0,Critical Risk,1418774.0
CUST00071,51,56713,678,Salaried,188238,24,1,13,23,5000,1,4,4,1,9,Loyal,90.0,Critical Risk,847980.0
CUST00072,39,34812,714,Salaried,224361,36,0,188,5,46978,1,2,1,3,6,At Risk,100.0,Critical Risk,381892.0
CUST00073,53,70896,712,Salaried,161306,60,2,289,17,14839,1,1,3,1,5,Lost,99.3,Critical Risk,282876.0
CUST00074,24,61415,697,Salaried,223872,12,1,217,10,72207,1,2,2,4,8,Loyal,100.0,Critical Risk,1039667.0
CUST00075,41,41494,671,Salaried,187425,48,2,206,6,45117,1,2,1,3,6,At Risk,100.0,Critical Risk,407448.0
CUST00076,40,80171,608,Business,274832,60,0,274,28,30314,1,1,4,1,6,At Risk,100.0,Critical Risk,997775.0
CUST00077,43,57592,563,Business,245554,60,0,245,29,60212,1,2,4,4,10,Champions,100.0,Critical Risk,2264100.0
CUST00078,25,50226,850,Business,215606,60,0,19,2,53528,0,4,1,3,8,Loyal,87.4,Critical Risk,704062.0
CUST00079,33,72948,503,Business,189889,24,3,192,16,18012,1,2,3,1,6,At Risk,100.0,Critical Risk,460350.0
CUST00080,38,64112,664,Self-Employed,349883,12,3,101,7,27051,1,3,1,1,5,Lost,100.0,Critical Risk,502657.0
CUST00081,34,15000,604,Salaried,21139,12,1,154,6,57624,1,3,1,3,7,At Risk,68.7,High Risk,662449.0
CUST00082,51,38682,792,Salaried,204193,48,3,10,3,26985,1,4,1,1,6,At Risk,100.0,Critical Risk,635453.0
CUST00083,65,27237,704,Business,151127,36,0,138,6,22547,1,3,1,1,5,Lost,100.0,Critical Risk,282968.0
CUST00084,63,32190,802,Salaried,263145,36,2,53,21,54131,1,4,3,3,10,Champions,100.0,Critical Risk,4635912.0
CUST00085,31,74600,511,Salaried,153666,36,0,241,9,6013,1,2,2,1,5,Lost,85.7,Critical Risk,71181.0
CUST00086,34,52833,714,Salaried,232630,36,2,35,10,19636,1,4,2,1,7,At Risk,100.0,Critical Risk,1002397.0
CUST00087,25,46747,638,Salaried,270780,12,1,244,2,15257,1,2,1,1,4,Lost,100.0,Critical Risk,39706.0
CUST00088,36,41221,671,Salaried,20000,60,0,279,24,53974,1,1,4,3,8,Loyal,45.7,Medium Risk,1498612.0
CUST00089,42,39546,649,Salaried,246750,60,1,89,1,55859,1,4,1,3,8,Loyal,100.0,Critical Risk,162458.0
CUST00090,37,48060,665,Salaried,59242,36,2,10,25,26657,1,4,4,1,9,Loyal,58.9,High Risk,5231078.0
CUST00091,57,60767,788,Business,177341,48,2,232,19,7165,0,2,3,1,6,At Risk,100.0,Critical Risk,185062.0
CUST00092,26,72621,541,Salaried,190946,36,0,231,19,74424,1,2,3,4,9,Loyal,94.0,Critical Risk,1929460.0
CUST00093,65,34133,601,Self-Employed,20000,60,1,216,29,69939,1,2,4,4,10,Champions,57.6,High Risk,2931898.0
CUST00094,30,41805,557,Salaried,379552,48,1,13,3,83050,1,4,1,4,9,Loyal,100.0,Critical Risk,1837167.0
CUST00095,48,87950,702,Freelance,176749,48,2,12,12,45008,1,4,2,2,8,Loyal,71.9,High Risk,4064640.0
CUST00096,65,70269,801,Freelance,126230,24,1,92,3,24259,0,3,1,1,5,Lost,57.1,High Risk,206721.0
CUST00097,45,18705,522,Self-Employed,278148,24,1,309,27,33309,1,1,4,2,7,At Risk,100.0,Critical Risk,950102.0
CUST00098,35,67526,735,Salaried,204198,60,0,183,7,27445,0,2,1,1,4,Lost,83.9,Critical Risk,319462.0
CUST00099,61,40283,674,Business,210648,12,0,310,25,44489,1,1,4,2,7,At Risk,100.0,Critical Risk,1171608.0
CUST00100,25,47532,743,Salaried,20000,48,0,269,14,71046,0,2,2,4,8,Loyal,38.3,Medium Risk,1188364.0
CUST00101,51,63552,609,Salaried,118882,48,2,88,5,53277,1,4,1,3,8,Loyal,82.2,Critical Risk,780968.0
CUST00102,34,42809,691,Salaried,202501,48,0,232,18,46399,1,2,3,3,8,Loyal,100.0,Critical Risk,1135350.0
CUST00103,34,32644,713,Freelance,138170,48,1,56,8,89288,1,4,1,4,9,Loyal,100.0,Critical Risk,2818605.0
CUST00104,37,76382,777,Self-Employed,323457,60,2,144,7,24527,1,3,1,1,5,Lost,100.0,Critical Risk,347183.0
CUST00105,51,58919,749,Freelance,153408,48,1,256,28,43472,1,2,4,2,8,Loyal,90.5,Critical Risk,1518919.0
CUST00106,30,70451,723,Salaried,137728,60,1,196,4,38605,0,2,1,2,5,Lost,74.4,High Risk,242423.0
CUST00107,60,55088,630,Salaried,174684,12,0,324,23,5000,1,1,4,1,6,At Risk,100.0,Critical Risk,116436.0
CUST00108,28,57689,624,Salaried,125331,24,1,246,21,22390,1,2,3,1,6,At Risk,90.1,Critical Risk,607502.0
CUST00109,43,60412,660,Salaried,230666,24,0,217,1,32696,1,2,1,2,5,Lost,100.0,Critical Risk,47077.0
CUST00110,66,59116,740,Salaried,110773,24,1,103,20,36264,0,3,3,2,8,Loyal,63.9,High Risk,1897686.0
CUST00111,49,61666,618,Salaried,273059,48,0,225,10,36824,1,2,2,2,6,At Risk,100.0,Critical Risk,513987.0
CUST00112,29,53971,675,Salaried,265273,36,1,89,27,90663,1,4,4,4,12,Champions,100.0,Critical Risk,7119393.0
CUST00113,39,70854,631,Salaried,200946,12,2,76,4,13874,1,4,1,1,6,At Risk,98.9,Critical Risk,180054.0
CUST00114,64,34908,612,Self-Employed,85772,60,2,266,5,28365,1,2,1,1,4,Lost,100.0,Critical Risk,171128.0
CUST00115,27,54590,687,Freelance,179170,36,1,262,10,33973,1,2,2,2,6,At Risk,100.0,Critical Risk,415415.0
CUST00116,58,77714,771,Salaried,78758,24,1,83,3,35287,0,4,1,2,7,At Risk,42.8,Medium Risk,323341.0
CUST00117,63,33815,634,Salaried,170015,24,0,40,2,48698,1,4,1,3,8,Loyal,100.0,Critical Risk,464700.0
CUST00118,63,50942,657,Salaried,187558,24,0,288,26,35188,1,1,4,2,7,At Risk,100.0,Critical Risk,1029073.0
CUST00119,51,52946,569,Salaried,81267,48,0,133,11,30343,1,3,2,1,6,At Risk,62.1,High Risk,718744.0
CUST00120,48,48967,633,Salaried,20000,60,0,98,5,52473,1,3,1,3,7,At Risk,32.0,Medium Risk,711994.0
CUST00121,22,41114,666,Salaried,314186,12,1,90,25,42882,1,4,4,2,10,Champions,100.0,Critical Risk,3093267.0
CUST00122,44,57857,747,Salaried,160318,36,0,43,29,39504,0,4,4,2,10,Champions,66.4,High Risk,5259746.0
CUST00123,56,68032,723,Freelance,150072,24,1,5,27,61972,1,4,4,4,12,Champions,63.8,High Risk,14716483.0
CUST00124,34,65647,699,Self-Employed,171192,60,3,329,2,39566,1,1,1,2,4,Lost,100.0,Critical Risk,79024.0
CUST00125,28,56762,708,Salaried,87848,24,0,45,5,62911,0,4,1,4,9,Loyal,45.0,Medium Risk,1408743.0
CUST00126,62,75360,707,Business,215414,48,0,310,14,11667,1,1,2,1,4,Lost,93.0,Critical Risk,172059.0
CUST00127,56,74645,701,Business,142110,24,0,172,7,42770,0,3,1,2,6,At Risk,63.0,High Risk,524112.0
CUST00128,64,41481,705,Salaried,158931,36,1,43,23,5000,1,4,4,1,9,Loyal,100.0,Critical Risk,527987.0
CUST00129,51,59694,850,Self-Employed,114436,60,0,140,15,10490,0,3,2,1,6,At Risk,49.8,Medium Risk,325398.0
CUST00130,60,39033,679,Business,132267,60,1,329,25,53168,1,1,4,3,8,Loyal,100.0,Critical Risk,1327382.0
CUST00131,64,49620,653,Self-Employed,207035,12,0,255,21,17375,1,2,3,1,6,At Risk,100.0,Critical Risk,456876.0
CUST00132,39,51769,743,Business,102237,60,2,130,22,37914,1,3,3,2,8,Loyal,78.0,Critical Risk,1828525.0
CUST00133,27,42563,563,Self-Employed,93029,24,2,201,2,47348,1,2,1,3,6,At Risk,100.0,Critical Risk,145533.0
CUST00134,37,45588,796,Freelance,167094,60,1,324,12,34322,0,1,2,2,5,Lost,100.0,Critical Risk,417005.0
CUST00135,34,53170,771,Salaried,310839,36,1,139,21,32343,1,3,3,2,8,Loyal,100.0,Critical Risk,1412587.0
CUST00136,63,57560,648,Freelance,211562,24,0,8,28,61977,1,4,4,4,12,Champions,88.9,Critical Risk,14233819.0
CUST00137,62,36456,611,Salaried,149750,48,1,255,8,57042,1,2,1,3,6,At Risk,100.0,Critical Risk,571398.0
CUST00138,50,50736,471,Business,132590,48,0,358,9,80871,1,1,2,4,7,At Risk,100.0,Critical Risk,673413.0
CUST00139,59,67122,587,Salaried,258200,36,0,312,11,44024,1,1,2,2,5,Lost,100.0,Critical Risk,507192.0
CUST00140,31,57419,632,Self-Employed,237941,48,0,165,21,67869,1,3,3,4,10,Champions,100.0,Critical Risk,2581717.0
CUST00141,45,52414,735,Salaried,232312,12,1,15,21,48682,1,4,3,3,10,Champions,100.0,Critical Risk,7245583.0
CUST00142,43,41817,652,Self-Employed,192719,48,1,161,25,5000,1,3,4,1,8,Loyal,100.0,Critical Risk,231013.0
CUST00143,26,42188,510,Self-Employed,250827,48,0,177,21,43664,1,3,3,2,8,Loyal,100.0,Critical Risk,1567609.0
CUST00144,49,81254,761,Business,144839,36,0,162,12,82129,0,3,2,4,9,Loyal,55.4,High Risk,1812217.0
CUST00145,34,17875,605,Salaried,234692,60,0,254,16,5000,1,2,3,1,6,At Risk,100.0,Critical Risk,100516.0
CUST00146,63,35871,787,Self-Employed,213017,48,0,104,13,44883,1,3,2,2,7,At Risk,100.0,Critical Risk,1515800.0
CUST00147,33,47064,553,Salaried,135378,12,1,251,22,42377,1,2,3,2,7,At Risk,100.0,Critical Risk,1183608.0
CUST00148,28,73532,723,Salaried,22260,12,2,267,7,36739,1,2,1,2,5,Lost,57.2,High Risk,309285.0
CUST00149,55,31290,588,Self-Employed,157719,48,0,156,10,47320,1,3,2,3,8,Loyal,100.0,Critical Risk,897236.0
CUST00150,43,37403,675,Business,150218,36,1,310,4,61755,1,1,1,4,6,At Risk,100.0,Critical Risk,260209.0
CUST00151,43,76315,698,Salaried,199724,48,0,69,6,50330,1,4,1,3,8,Loyal,69.1,High Risk,1044765.0
CUST00152,52,50229,594,Salaried,313819,24,0,246,29,35500,1,2,4,2,8,Loyal,100.0,Critical Risk,1330150.0
CUST00153,65,22257,655,Salaried,99996,12,2,191,27,47671,1,2,4,3,9,Loyal,100.0,Critical Risk,2065045.0
CUST00154,50,65901,644,Salaried,253548,48,1,285,27,54371,1,1,4,3,8,Loyal,100.0,Critical Risk,1666644.0
CUST00155,34,51526,643,Salaried,217717,60,0,52,24,6758,1,4,4,1,9,Loyal,100.0,Critical Risk,668927.0
CUST00156,34,72227,687,Salaried,208200,12,0,302,22,38472,1,1,3,2,6,At Risk,94.3,Critical Risk,912644.0
CUST00157,67,51267,555,Self-Employed,215174,24,0,95,15,46841,1,3,2,3,8,Loyal,100.0,Critical Risk,1950224.0
CUST00158,58,44409,659,Salaried,268469,24,1,160,11,47229,1,3,2,3,8,Loyal,100.0,Critical Risk,965010.0
CUST00159,29,41054,792,Salaried,142810,24,0,226,26,45907,0,2,4,3,9,Loyal,92.4,Critical Risk,1659647.0
CUST00160,43,44711,736,Salaried,92636,24,0,244,29,62471,0,2,4,4,10,Champions,69.8,High Risk,2357417.0
CUST00161,63,51540,698,Self-Employed,168994,36,1,188,13,39018,1,2,2,2,6,At Risk,100.0,Critical Risk,824679.0
CUST00162,60,80033,663,Freelance,20000,24,3,41,20,62460,1,4,3,4,11,Champions,52.0,High Risk,5883329.0
CUST00163,37,79289,760,Salaried,226106,60,0,193,14,93649,0,2,2,4,8,Loyal,79.4,Critical Risk,2085169.0
CUST00164,65,45428,652,Salaried,143374,48,0,4,20,28269,1,4,3,1,8,Loyal,77.9,Critical Risk,5095400.0
CUST00165,40,26790,597,Freelance,118122,24,1,87,4,38617,1,4,1,2,7,At Risk,100.0,Critical Risk,456525.0
CUST00166,50,41826,546,Self-Employed,325099,36,2,164,14,40661,1,3,2,2,7,At Risk,100.0,Critical Risk,1036298.0
CUST00167,38,54903,764,Business,149789,12,1,228,8,54278,0,2,1,3,6,At Risk,89.6,Critical Risk,599213.0
CUST00168,27,61742,629,Salaried,225635,24,1,248,25,44690,1,2,4,2,8,Loyal,100.0,Critical Risk,1433379.0
CUST00169,57,52605,730,Salaried,46195,60,0,152,4,5000,0,3,1,1,5,Lost,38.8,Medium Risk,38727.0
CUST00170,35,57886,830,Salaried,61691,36,0,78,26,66657,0,4,4,4,12,Champions,29.2,Medium Risk,5524672.0
CUST00171,54,101793,618,Salaried,164130,60,2,239,25,55361,1,2,4,3,9,Loyal,88.8,Critical Risk,1833645.0
CUST00172,45,49717,761,Salaried,197368,24,0,309,14,75687,0,1,2,4,7,At Risk,100.0,Critical Risk,1119423.0
CUST00173,53,50061,665,Freelance,126602,24,1,117,14,56137,1,3,2,3,8,Loyal,83.7,Critical Risk,1868795.0
CUST00174,55,56448,760,Salaried,252911,60,0,232,9,64467,1,2,2,4,8,Loyal,100.0,Critical Risk,788730.0
CUST00175,67,65748,533,Salaried,193388,24,1,7,9,92675,1,4,2,4,10,Champions,92.5,Critical Risk,6998560.0
CUST00176,62,65200,798,Self-Employed,181079,48,1,149,11,15059,0,3,2,1,6,At Risk,81.6,Critical Risk,325940.0
CUST00177,49,89631,669,Business,82662,24,2,354,28,32974,1,1,4,2,7,At Risk,80.7,Critical Risk,862982.0
CUST00178,36,37462,557,Business,28545,48,0,66,26,56416,1,4,4,3,11,Champions,42.0,Medium Risk,5223296.0
CUST00179,67,69303,850,Salaried,168284,48,0,30,13,64417,0,4,2,4,10,Champions,51.0,High Risk,4596371.0
CUST00180,63,60260,671,Business,69728,48,0,199,27,85259,1,2,4,4,10,Champions,52.5,High Risk,3567845.0
CUST00181,64,70786,627,Self-Employed,20000,24,1,201,9,32286,0,2,2,2,6,At Risk,48.4,Medium Risk,446566.0
CUST00182,54,34785,750,Freelance,126089,36,1,206,3,31372,1,2,1,2,5,Lost,100.0,Critical Risk,141659.0
CUST00183,56,47255,799,Salaried,252904,60,2,335,1,45442,1,1,1,3,5,Lost,100.0,Critical Risk,44647.0
CUST00184,53,15000,700,Self-Employed,151992,60,1,349,8,11427,1,1,1,1,3,Lost,100.0,Critical Risk,86555.0
CUST00185,60,85953,742,Business,93968,36,1,84,26,6488,0,4,4,1,9,Loyal,46.6,Medium Risk,510964.0
CUST00186,40,75244,620,Business,237221,60,1,308,6,48673,1,1,1,3,5,Lost,100.0,Critical Risk,309416.0
CUST00187,31,27901,633,Salaried,183536,60,1,132,16,44511,1,3,3,2,8,Loyal,100.0,Critical Risk,1542696.0
CUST00188,31,39634,844,Freelance,20000,36,0,13,5,18838,0,4,1,1,6,At Risk,11.6,Low Risk,694532.0
CUST00189,35,61363,757,Business,123155,24,2,21,1,25402,1,4,1,1,6,At Risk,68.6,High Risk,161247.0
CUST00190,43,66926,780,Salaried,165005,24,0,96,1,22879,0,3,1,1,5,Lost,62.3,High Risk,63025.0
CUST00191,65,65889,680,Freelance,157592,24,2,171,7,81680,1,3,1,4,8,Loyal,94.3,Critical Risk,1005747.0
CUST00192,23,49204,715,Business,143848,60,3,164,23,29994,1,3,4,1,8,Loyal,100.0,Critical Risk,1255859.0
CUST00193,53,79607,533,Business,413208,60,1,16,15,22517,1,4,2,1,7,At Risk,100.0,Critical Risk,2348201.0
CUST00194,36,54678,722,Freelance,123011,60,0,301,21,66097,0,1,3,4,8,Loyal,79.0,Critical Risk,1501136.0
CUST00195,38,62746,710,Salaried,203431,24,0,218,26,65520,1,2,4,4,10,Champions,92.9,Critical Risk,2443162.0
CUST00196,47,57221,598,Salaried,267406,12,1,67,6,57434,1,4,1,3,8,Loyal,100.0,Critical Risk,1215270.0
CUST00197,55,67150,623,Salaried,130131,60,0,314,23,18733,1,1,4,1,6,At Risk,81.1,Critical Risk,448683.0
CUST00198,43,56186,764,Salaried,176697,48,1,178,16,20276,1,3,3,1,7,At Risk,93.8,Critical Risk,552037.0
CUST00199,41,87487,786,Salaried,280933,36,0,136,28,45114,0,3,4,2,9,Loyal,80.1,Critical Risk,2672841.0
CUST00200,40,34509,583,Business,202394,36,1,165,9,32769,1,3,2,2,7,At Risk,100.0,Critical Risk,534224.0
CUST00201,22,43304,709,Salaried,282508,24,0,281,1,40416,1,1,1,2,4,Lost,100.0,Critical Risk,46462.0
CUST00202,35,75400,715,Business,246501,12,2,24,22,56639,1,4,3,3,10,Champions,97.2,Critical Risk,7517540.0
CUST00203,32,29763,608,Freelance,20000,12,3,130,22,21788,1,3,3,1,7,At Risk,71.7,High Risk,1050797.0
CUST00204,49,37458,629,Business,255950,36,0,88,27,51823,1,4,4,3,11,Champions,100.0,Critical Risk,4102134.0
CUST00205,50,28092,713,Salaried,197397,60,2,338,3,71204,1,1,1,4,6,At Risk,100.0,Critical Risk,208193.0
CUST00206,30,55511,670,Business,207805,48,1,335,28,51134,1,1,4,3,8,Loyal,100.0,Critical Risk,1406701.0
CUST00207,55,56835,644,Business,171675,36,0,266,23,63939,1,2,4,4,10,Champions,97.3,Critical Risk,1774439.0
CUST00208,58,32962,672,Salaried,148005,36,1,205,9,30732,1,2,2,1,5,Lost,100.0,Critical Risk,418032.0
CUST00209,47,38273,588,Business,20000,24,0,112,21,39492,1,3,3,2,8,Loyal,38.7,Medium Risk,2038425.0
CUST00210,66,64876,763,Self-Employed,211109,12,3,175,10,62636,1,3,2,4,9,Loyal,100.0,Critical Risk,1080952.0
CUST00211,64,91695,687,Self-Employed,139808,24,1,50,6,59974,1,4,1,4,9,Loyal,56.5,High Risk,1518417.0
CUST00212,50,69778,681,Business,184819,48,1,259,6,51635,1,2,1,3,6,At Risk,96.6,Critical Risk,382676.0
CUST00213,29,38478,702,Salaried,141164,48,1,214,8,16807,1,2,1,1,4,Lost,100.0,Critical Risk,195914.0
CUST00214,37,35393,753,Salaried,104795,24,0,246,10,13084,0,2,2,1,5,Lost,86.5,Critical Risk,169050.0
CUST00215,22,48362,608,Self-Employed,167336,24,0,52,16,53596,1,4,3,3,10,Champions,91.1,Critical Risk,3536730.0
CUST00216,40,51484,619,Self-Employed,225753,36,0,209,26,25128,1,2,4,1,7,At Risk,100.0,Critical Risk,971343.0
CUST00217,61,60195,755,Salaried,121096,48,0,26,23,47948,0,4,4,3,11,Champions,49.3,Medium Risk,6440375.0
CUST00218,66,50706,737,Salaried,69178,48,0,253,5,50979,0,2,1,3,6,At Risk,56.3,High Risk,321370.0
CUST00219,22,32490,817,Self-Employed,210899,24,0,105,13,14974,0,3,2,1,6,At Risk,100.0,Critical Risk,502132.0
CUST00220,66,80248,634,Salaried,20000,60,1,143,2,42871,0,3,1,2,6,At Risk,42.4,Medium Risk,174350.0
